Battery capacity (mAh),Screen size (inches),Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Price euro,Resolution ratio
5000,5.2,8,3000,32.0,13.0,5.0,134.92079999999999,1.7777777777777777
3180,5.7,8,2000,16.0,13.0,8.0,87.3644304,2.0
3000,5.65,8,3000,32.0,13.0,13.0,114.73407839999999,2.0
3500,5.2,4,2000,16.0,13.0,5.0,64.2351504,1.7777777777777777
4000,5.7,4,2000,16.0,13.0,8.0,88.01976,2.0
3500,6.0,8,6000,64.0,16.0,16.0,217.15824,2.0555555555555554
3030,5.7,8,4000,32.0,13.0,16.0,81.1966224,2.0
3000,5.7,8,4000,32.0,16.0,24.0,179.76590399999998,2.0
3080,5.5,8,2000,16.0,13.0,16.0,109.093104,1.7777777777777777
3000,5.0,4,2000,16.0,13.0,5.0,92.50427040000001,1.7777777777777777
3340,5.93,8,4000,32.0,16.0,8.0,163.47261120000002,2.0
3020,5.0,8,3000,32.0,13.0,5.0,109.2087504,1.7777777777777777
5000,6.0,8,4000,64.0,13.0,8.0,114.232944,2.0
3225,5.99,8,4000,64.0,16.0,24.0,141.21710399999998,2.0
3000,5.5,8,4000,64.0,16.0,12.0,334.0767504,1.7777777777777777
3000,5.5,8,3000,32.0,13.0,5.0,114.9782208,2.0
3200,5.5,8,4000,64.0,13.0,16.0,154.066704,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,5.0,77.0847504,1.7777777777777777
3000,5.5,8,4000,64.0,13.0,20.0,166.916304,1.7777777777777777
4000,5.0,4,2000,16.0,8.0,5.0,70.6599504,1.7777777777777777
3020,5.5,8,4000,32.0,13.0,8.0,154.1952,1.7777777777777777
3630,5.5,8,4000,64.0,13.0,16.0,166.916304,1.7777777777777777
3800,4.7,8,2000,16.0,13.0,5.0,513.9711503999999,1.7777777777777777
2500,5.0,4,3000,16.0,13.0,8.0,55.124784000000005,1.7777777777777777
4010,5.5,8,4000,64.0,13.0,16.0,128.4831504,1.7777777777777777
2700,6.0,8,4000,64.0,23.0,16.0,77.0205024,1.7777777777777777
2900,5.2,4,4000,32.0,19.0,13.0,385.35950399999996,1.7777777777777777
4550,6.0,8,4000,64.0,13.0,20.0,12.7725024,1.7777777777777777
2800,5.0,8,2000,16.0,13.0,5.0,70.03032,1.7777777777777777
3000,5.2,8,4000,64.0,12.0,8.0,191.8830768,1.7777777777777777
3055,5.5,8,4000,64.0,16.0,20.0,160.62,1.7777777777777777
3000,5.5,8,2000,16.0,16.0,8.0,93.1596,1.7777777777777777
3600,5.7,8,3000,32.0,16.0,16.0,332.80464,1.7777777777777777
3000,5.2,8,3000,32.0,16.0,16.0,244.1295504,1.7777777777777777
2500,5.5,8,3000,32.0,13.0,5.0,115.51790399999999,1.5
2900,5.2,8,3000,32.0,13.0,16.0,154.1952,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,20.0,212.5452336,1.7777777777777777
4100,5.5,8,2000,32.0,16.0,8.0,110.4937104,1.7777777777777777
3200,5.5,8,3000,32.0,16.0,8.0,83.5095504,1.7777777777777777
3000,5.5,10,3000,32.0,16.0,8.0,141.3327504,1.7777777777777777
3340,5.5,8,3000,32.0,12.0,8.0,179.8815504,1.7777777777777777
3200,5.0,1,3000,16.0,13.0,5.0,70.6599504,1.7777777777777777
5100,5.5,8,3000,32.0,13.0,5.0,218.43035039999998,1.7777777777777777
4000,5.5,8,3000,32.0,16.0,8.0,114.232944,1.7777777777777777
3150,5.5,8,3000,32.0,13.0,8.0,154.1952,1.7777777777777777
4000,5.5,8,3000,32.0,13.0,8.0,162.4060944,1.7777777777777777
3075,5.5,8,3000,32.0,13.0,16.0,205.465104,1.7777777777777777
2610,5.2,8,3000,16.0,13.0,8.0,154.1823504,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,8.0,70.6599504,1.7777777777777777
4050,6.4,8,3000,32.0,13.0,8.0,128.4831504,1.7777777777777777
4000,5.5,8,4000,32.0,13.0,5.0,64.2351504,1.7777777777777777
3000,5.5,8,3000,16.0,13.0,5.0,80.29715039999999,1.7777777777777777
3000,5.5,8,3000,32.0,13.0,5.0,102.66830399999999,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,8.0,231.0229584,1.7777777777777777
2850,5.5,8,4000,64.0,13.0,16.0,231.164304,1.7777777777777777
2500,5.0,4,3000,16.0,8.0,8.0,128.367504,1.7777777777777777
2750,5.0,8,2000,16.0,13.0,5.0,77.0847504,1.7777777777777777
2750,5.0,8,2000,16.0,13.0,5.0,102.7839504,1.7777777777777777
